,Model,Imputation,Correction,Forecast,Recon_method,Total,Forecasting_Model
43,hybrid-ARIMA-median-Correction_False-RandomForestRegressor-96-96,1174.2864241600037,0.0,1222.164202451706,hybrid,2396.4506266117096,RandomForestRegressor
44,hybrid-ARIMA-median-Correction_False-SVR-96-96,1174.2864241600037,0.0,815.7173631191254,hybrid,1990.003787279129,SVR
45,hybrid-ARIMA-median-Correction_False-DecisionTreeRegressor-96-96,1174.2864241600037,0.0,3.2184321880340576,hybrid,1177.5048563480377,DecisionTreeRegressor
46,hybrid-ARIMA-median-Correction_False-GradientBoostingRegressor-96-96,1174.2864241600037,0.0,223.82226157188416,hybrid,1398.1086857318878,GradientBoostingRegressor
47,hybrid-ARIMA-median-Correction_False-ANN-96-96,1174.2864241600037,0.0,286.6165747642517,hybrid,1460.9029989242554,ANN
48,hybrid-HW-mean-Correction_True-KNeighborsRegressor-96-96,23.61968755722046,20.97752594947815,536.1742703914642,hybrid,580.7714838981628,KNeighborsRegressor
49,hybrid-HW-mean-Correction_True-RandomForestRegressor-96-96,23.61968755722046,20.97752594947815,2666.32910490036,hybrid,2710.9263184070587,RandomForestRegressor
50,hybrid-HW-mean-Correction_True-SVR-96-96,23.61968755722046,20.97752594947815,877.8940079212189,hybrid,922.4912214279175,SVR
51,hybrid-HW-mean-Correction_True-DecisionTreeRegressor-96-96,23.61968755722046,20.97752594947815,3.117661476135254,hybrid,47.71487498283386,DecisionTreeRegressor
52,hybrid-HW-mean-Correction_True-GradientBoostingRegressor-96-96,23.61968755722046,20.97752594947815,221.29634022712708,hybrid,265.8935537338257,GradientBoostingRegressor
53,hybrid-HW-mean-Correction_True-ANN-96-96,23.61968755722046,20.97752594947815,259.07133316993713,hybrid,303.66854667663574,ANN
54,hybrid-HW-mean-Correction_False-KNeighborsRegressor-96-96,23.63087248802185,0.0,537.5752575397491,hybrid,561.206130027771,KNeighborsRegressor
55,hybrid-HW-mean-Correction_False-RandomForestRegressor-96-96,23.63087248802185,0.0,1250.2351760864258,hybrid,1273.8660485744476,RandomForestRegressor
56,hybrid-HW-mean-Correction_False-SVR-96-96,23.63087248802185,0.0,816.3584077358246,hybrid,839.9892802238464,SVR
57,hybrid-HW-mean-Correction_False-DecisionTreeRegressor-96-96,23.63087248802185,0.0,3.0580835342407227,hybrid,26.688956022262573,DecisionTreeRegressor
58,hybrid-HW-mean-Correction_False-GradientBoostingRegressor-96-96,23.63087248802185,0.0,217.1928608417511,hybrid,240.82373332977295,GradientBoostingRegressor
59,hybrid-HW-mean-Correction_False-ANN-96-96,23.63087248802185,0.0,284.22601890563965,hybrid,307.8568913936615,ANN
60,hybrid-HW-median-Correction_True-KNeighborsRegressor-96-96,23.02173137664795,21.03372550010681,542.4689860343933,hybrid,586.5244429111481,KNeighborsRegressor
61,hybrid-HW-median-Correction_True-RandomForestRegressor-96-96,23.02173137664795,21.03372550010681,1239.2493722438812,hybrid,1283.304829120636,RandomForestRegressor
62,hybrid-HW-median-Correction_True-SVR-96-96,23.02173137664795,21.03372550010681,896.7247214317322,hybrid,940.7801783084869,SVR
63,hybrid-HW-median-Correction_True-DecisionTreeRegressor-96-96,23.02173137664795,21.03372550010681,3.5189390182495117,hybrid,47.57439589500427,DecisionTreeRegressor
64,hybrid-HW-median-Correction_True-GradientBoostingRegressor-96-96,23.02173137664795,21.03372550010681,216.72073793411255,hybrid,260.7761948108673,GradientBoostingRegressor
65,hybrid-HW-median-Correction_True-ANN-96-96,23.02173137664795,21.03372550010681,281.8123893737793,hybrid,325.86784625053406,ANN
66,hybrid-HW-median-Correction_False-KNeighborsRegressor-96-96,23.14979600906372,0.0,544.0248579978943,hybrid,567.174654006958,KNeighborsRegressor
67,hybrid-HW-median-Correction_False-RandomForestRegressor-96-96,23.14979600906372,0.0,1230.8040721416473,hybrid,1253.953868150711,RandomForestRegressor
68,hybrid-HW-median-Correction_False-SVR-96-96,23.14979600906372,0.0,830.8560979366302,hybrid,854.005893945694,SVR
69,hybrid-HW-median-Correction_False-DecisionTreeRegressor-96-96,23.14979600906372,0.0,3.159538507461548,hybrid,26.30933451652527,DecisionTreeRegressor
70,hybrid-HW-median-Correction_False-GradientBoostingRegressor-96-96,23.14979600906372,0.0,215.25564408302307,hybrid,238.4054400920868,GradientBoostingRegressor
71,hybrid-HW-median-Correction_False-ANN-96-96,23.14979600906372,0.0,277.3174934387207,hybrid,300.4672894477844,ANN
72,hybrid-KNN-mean-Correction_True-KNeighborsRegressor-96-96,70.25910091400146,22.011223316192627,552.6261103153229,hybrid,644.896434545517,KNeighborsRegressor
73,hybrid-KNN-mean-Correction_True-RandomForestRegressor-96-96,70.25910091400146,22.011223316192627,1238.6715815067291,hybrid,1330.9419057369232,RandomForestRegressor
74,hybrid-KNN-mean-Correction_True-SVR-96-96,70.25910091400146,22.011223316192627,821.9562315940857,hybrid,914.2265558242798,SVR
75,hybrid-KNN-mean-Correction_True-DecisionTreeRegressor-96-96,70.25910091400146,22.011223316192627,3.2114102840423584,hybrid,95.48173451423645,DecisionTreeRegressor
76,hybrid-KNN-mean-Correction_True-GradientBoostingRegressor-96-96,70.25910091400146,22.011223316192627,218.14342403411865,hybrid,310.41374826431274,GradientBoostingRegressor
77,hybrid-KNN-mean-Correction_True-ANN-96-96,70.25910091400146,22.011223316192627,293.4823958873749,hybrid,385.75272011756897,ANN
78,hybrid-KNN-mean-Correction_False-KNeighborsRegressor-96-96,69.22620415687561,0.0,536.2766406536102,hybrid,605.5028448104858,KNeighborsRegressor
79,hybrid-KNN-mean-Correction_False-RandomForestRegressor-96-96,69.22620415687561,0.0,1275.6163606643677,hybrid,1344.8425648212433,RandomForestRegressor
80,hybrid-KNN-mean-Correction_False-SVR-96-96,69.22620415687561,0.0,942.9553561210632,hybrid,1012.1815602779388,SVR
81,hybrid-KNN-mean-Correction_False-DecisionTreeRegressor-96-96,69.22620415687561,0.0,3.651824474334717,hybrid,72.87802863121033,DecisionTreeRegressor
82,hybrid-KNN-mean-Correction_False-GradientBoostingRegressor-96-96,69.22620415687561,0.0,246.35122776031494,hybrid,315.57743191719055,GradientBoostingRegressor
83,hybrid-KNN-mean-Correction_False-ANN-96-96,69.22620415687561,0.0,290.80570125579834,hybrid,360.03190541267395,ANN
84,hybrid-KNN-median-Correction_True-KNeighborsRegressor-96-96,79.97977185249329,23.928282260894775,583.4666123390198,hybrid,687.3746664524078,KNeighborsRegressor
85,hybrid-KNN-median-Correction_True-RandomForestRegressor-96-96,79.97977185249329,23.928282260894775,1362.7858753204346,hybrid,1466.6939294338226,RandomForestRegressor
86,hybrid-KNN-median-Correction_True-SVR-96-96,79.97977185249329,23.928282260894775,959.6220631599426,hybrid,1063.5301172733307,SVR
87,hybrid-KNN-median-Correction_True-DecisionTreeRegressor-96-96,79.97977185249329,23.928282260894775,3.498302936553955,hybrid,107.40635704994202,DecisionTreeRegressor
88,hybrid-KNN-median-Correction_True-GradientBoostingRegressor-96-96,79.97977185249329,23.928282260894775,237.80087637901306,hybrid,341.7089304924011,GradientBoostingRegressor
89,hybrid-KNN-median-Correction_True-ANN-96-96,79.97977185249329,23.928282260894775,301.0039372444153,hybrid,404.91199135780334,ANN
