,Recon_method,Short_Recon_Method,Long_Recon_Method,Corrected,Forecasting_Model,Seasonality,Horizon,R2,SMAPE,MAE,RMSE
44,hybrid,HW,median,Correction_True,GradientBoostingRegressor,96,96.csv,0.9859479187917338,0.10648763309983647,2.3191248054118594,3.050133008626795
45,hybrid,HW,median,Correction_True,KNeighborsRegressor,96,96.csv,0.9626025965494046,0.15360808500707196,3.878223396070075,4.9758717434578825
46,hybrid,HW,median,Correction_True,RandomForestRegressor,96,96.csv,0.9761358535585999,0.12916884374176757,3.110140669904507,3.974856052107739
47,hybrid,HW,median,Correction_True,SVR,96,96.csv,0.9840683754465539,0.10880823323593292,2.600529290420506,3.247719286640556
48,hybrid,KNN,mean,Correction_False,ANN,96,96.csv,0.9776780706268337,0.1724346904274409,3.1208162341515227,3.844273851716624
49,hybrid,KNN,mean,Correction_False,DecisionTreeRegressor,96,96.csv,0.9585170590845118,0.16431257150700762,4.165155623113737,5.240626658625878
50,hybrid,KNN,mean,Correction_False,GradientBoostingRegressor,96,96.csv,0.982032787757672,0.12149377630172567,2.8105014194722884,3.448965116068257
51,hybrid,KNN,mean,Correction_False,KNeighborsRegressor,96,96.csv,0.9729529504464052,0.13124120012630353,3.320434914344058,4.231636954459411
52,hybrid,KNN,mean,Correction_False,RandomForestRegressor,96,96.csv,0.9729202858169692,0.13281240727106386,3.2486196347864604,4.234191450181985
53,hybrid,KNN,mean,Correction_False,SVR,96,96.csv,0.9841658550842295,0.10903460962631414,2.5985790469032186,3.2377682532725225
54,hybrid,KNN,mean,Correction_True,ANN,96,96.csv,0.9845309468649006,0.10433148476673511,2.561813998421033,3.200223561688443
55,hybrid,KNN,mean,Correction_True,DecisionTreeRegressor,96,96.csv,0.9585170590845118,0.16431257150700734,4.16515562311373,5.240626658625873
56,hybrid,KNN,mean,Correction_True,GradientBoostingRegressor,96,96.csv,0.982032787757672,0.1214937763017256,2.8105014194722866,3.4489651160682557
57,hybrid,KNN,mean,Correction_True,KNeighborsRegressor,96,96.csv,0.9729529504464052,0.13124120012630353,3.320434914344058,4.231636954459411
58,hybrid,KNN,mean,Correction_True,RandomForestRegressor,96,96.csv,0.9766230396912765,0.12500666869729526,3.0612706897853457,3.934073526745943
59,hybrid,KNN,mean,Correction_True,SVR,96,96.csv,0.9841658550842295,0.10903460962631414,2.5985790469032186,3.2377682532725225
60,hybrid,KNN,median,Correction_False,ANN,96,96.csv,0.9769534645970646,0.1407473148916557,3.1194414595762887,3.9061712231342924
61,hybrid,KNN,median,Correction_False,DecisionTreeRegressor,96,96.csv,0.9214168865637916,0.30332617661929384,6.4225575608180145,7.212952438097712
62,hybrid,KNN,median,Correction_False,GradientBoostingRegressor,96,96.csv,0.9176053310752965,0.2053993117677282,5.521380399873175,7.385807926031659
63,hybrid,KNN,median,Correction_False,KNeighborsRegressor,96,96.csv,0.9626025965494046,0.15360808500707196,3.878223396070075,4.9758717434578825
64,hybrid,KNN,median,Correction_False,RandomForestRegressor,96,96.csv,0.9775454601524067,0.12561589390648334,3.022531382031163,3.855676004010566
65,hybrid,KNN,median,Correction_False,SVR,96,96.csv,0.9840464634498073,0.10912313334355644,2.6047874827419055,3.2499519391133855
66,hybrid,KNN,median,Correction_True,ANN,96,96.csv,0.9762756403646033,0.16559505523550147,3.3134819283088044,3.9631973805050627
67,hybrid,KNN,median,Correction_True,DecisionTreeRegressor,96,96.csv,0.9214168865637913,0.3033261766192941,6.422557560818021,7.212952438097726
68,hybrid,KNN,median,Correction_True,GradientBoostingRegressor,96,96.csv,0.9176053310752965,0.20539931176772813,5.521380399873178,7.385807926031661
69,hybrid,KNN,median,Correction_True,KNeighborsRegressor,96,96.csv,0.9626025965494046,0.15360808500707196,3.878223396070075,4.9758717434578825
70,hybrid,KNN,median,Correction_True,RandomForestRegressor,96,96.csv,0.9767054550427675,0.12683038075942074,3.0614453148901615,3.9271326259800827
71,hybrid,KNN,median,Correction_True,SVR,96,96.csv,0.9840464634498073,0.10912313334355644,2.6047874827419055,3.2499519391133855
72,hybrid,RF,mean,Correction_False,ANN,96,96.csv,0.9790520457706912,0.10691697248134242,2.5833235073089598,3.7240822216414022
73,hybrid,RF,mean,Correction_False,DecisionTreeRegressor,96,96.csv,0.9399550735049269,0.22845598764758884,5.190599515519094,6.3050220760841995
74,hybrid,RF,mean,Correction_False,GradientBoostingRegressor,96,96.csv,0.980793684349661,0.12078414200635515,2.875332421512274,3.5659108703369466
75,hybrid,RF,mean,Correction_False,KNeighborsRegressor,96,96.csv,0.9729529504464052,0.13124120012630353,3.320434914344058,4.231636954459411
76,hybrid,RF,mean,Correction_False,RandomForestRegressor,96,96.csv,0.9755249046600605,0.12848414025454097,3.12911088840485,4.025414891546119
77,hybrid,RF,mean,Correction_False,SVR,96,96.csv,0.9842023747048549,0.10875616807135487,2.5935278396609256,3.23403232924393
78,hybrid,RF,mean,Correction_True,ANN,96,96.csv,0.9866831084973299,0.09543292920192076,2.3468132225672402,2.969271319972714
79,hybrid,RF,mean,Correction_True,DecisionTreeRegressor,96,96.csv,0.9399550735049271,0.22845598764758837,5.190599515519081,6.30502207608419
80,hybrid,RF,mean,Correction_True,GradientBoostingRegressor,96,96.csv,0.9807936843496611,0.12078414200635507,2.875332421512271,3.565910870336944
81,hybrid,RF,mean,Correction_True,KNeighborsRegressor,96,96.csv,0.9729529504464052,0.13124120012630353,3.320434914344058,4.231636954459411
82,hybrid,RF,mean,Correction_True,RandomForestRegressor,96,96.csv,0.9758710760588898,0.12875735176620137,3.115215142904863,3.996846137538844
83,hybrid,RF,mean,Correction_True,SVR,96,96.csv,0.9842023747048549,0.10875616807135487,2.5935278396609256,3.23403232924393
84,hybrid,RF,median,Correction_False,ANN,96,96.csv,0.9866322753825842,0.11445907566323278,2.41392920811971,2.974933059607006
85,hybrid,RF,median,Correction_False,DecisionTreeRegressor,96,96.csv,0.9214168865637914,0.30332617661929406,6.422557560818018,7.212952438097724
86,hybrid,RF,median,Correction_False,GradientBoostingRegressor,96,96.csv,0.9767730062592168,0.1303789192599859,3.124426722669412,3.921434399478405
87,hybrid,RF,median,Correction_False,KNeighborsRegressor,96,96.csv,0.9626025965494046,0.15360808500707196,3.878223396070075,4.9758717434578825
88,hybrid,RF,median,Correction_False,RandomForestRegressor,96,96.csv,0.9766159456091116,0.1270240464007687,3.0726152840993706,3.9346704076806835
89,hybrid,RF,median,Correction_False,SVR,96,96.csv,0.9840568426818698,0.10899780765809147,2.602675420984868,3.2488945718805957
90,hybrid,RF,median,Correction_True,ANN,96,96.csv,0.9845494439619954,0.11715414738707941,2.6524896450837447,3.198309658117447
91,hybrid,RF,median,Correction_True,DecisionTreeRegressor,96,96.csv,0.9214168865637915,0.30332617661929384,6.4225575608180145,7.212952438097715
92,hybrid,RF,median,Correction_True,GradientBoostingRegressor,96,96.csv,0.9767730062592168,0.13037891925998585,3.1244267226694094,3.9214343994784033
93,hybrid,RF,median,Correction_True,KNeighborsRegressor,96,96.csv,0.9626025965494046,0.15360808500707196,3.878223396070075,4.9758717434578825
94,hybrid,RF,median,Correction_True,RandomForestRegressor,96,96.csv,0.9760565487598205,0.12843439748368152,3.1088871472081356,3.981455150615344
95,hybrid,RF,median,Correction_True,SVR,96,96.csv,0.9840568426818698,0.10899780765809147,2.602675420984868,3.2488945718805957
96,hybrid,SVR,mean,Correction_False,ANN,96,96.csv,0.9812939392829951,0.12078810101079834,2.8621369862556456,3.5191649425308706
97,hybrid,SVR,mean,Correction_False,DecisionTreeRegressor,96,96.csv,0.9399547879506323,0.22845878611135864,5.190634785523473,6.3050370683915915
98,hybrid,SVR,mean,Correction_False,GradientBoostingRegressor,96,96.csv,0.9798520542457044,0.12328525723312703,2.9388251427266874,3.6522781006175657
99,hybrid,SVR,mean,Correction_False,KNeighborsRegressor,96,96.csv,0.9729529504464052,0.13124120012630353,3.320434914344058,4.231636954459411
100,hybrid,SVR,mean,Correction_False,RandomForestRegressor,96,96.csv,0.9729259043423784,0.14067345722239008,3.3050437946076885,4.233752170317253
101,hybrid,SVR,mean,Correction_False,SVR,96,96.csv,0.984187976218747,0.10887828533941346,2.595497265111819,3.2355057964031793
102,hybrid,SVR,mean,Correction_True,ANN,96,96.csv,0.9465186186195207,0.22155033364908527,4.851281763315201,5.950449322984625
103,hybrid,SVR,mean,Correction_True,DecisionTreeRegressor,96,96.csv,0.9399547879506323,0.22845878611135895,5.1906347855234785,6.305037068391597
104,hybrid,SVR,mean,Correction_True,GradientBoostingRegressor,96,96.csv,0.9798520542457044,0.12328525723312705,2.9388251427266874,3.6522781006175666
105,hybrid,SVR,mean,Correction_True,KNeighborsRegressor,96,96.csv,0.9729529504464052,0.13124120012630353,3.320434914344058,4.231636954459411
106,hybrid,SVR,mean,Correction_True,RandomForestRegressor,96,96.csv,0.9756463442200728,0.1278915978621437,3.1211063017542697,4.015415900775932
107,hybrid,SVR,mean,Correction_True,SVR,96,96.csv,0.984187976218747,0.10887828533941346,2.595497265111819,3.2355057964031793
108,hybrid,SVR,median,Correction_False,ANN,96,96.csv,0.9884331055785487,0.09104492656803478,2.1678050140539806,2.767303794113433
109,hybrid,SVR,median,Correction_False,DecisionTreeRegressor,96,96.csv,0.9214168865637916,0.30332617661929373,6.422557560818014,7.21295243809771
110,hybrid,SVR,median,Correction_False,GradientBoostingRegressor,96,96.csv,0.9835825128984066,0.11882786930742217,2.7121275698724983,3.2968697873094808
111,hybrid,SVR,median,Correction_False,KNeighborsRegressor,96,96.csv,0.9626025965494046,0.15360808500707196,3.878223396070075,4.9758717434578825
112,hybrid,SVR,median,Correction_False,RandomForestRegressor,96,96.csv,0.977512331840408,0.12650622416261,3.0296686447530647,3.8585191920883535
113,hybrid,SVR,median,Correction_False,SVR,96,96.csv,0.9840637940740544,0.10900119192375418,2.6024671857698967,3.2481862177516954
114,hybrid,SVR,median,Correction_True,ANN,96,96.csv,0.9782212801082342,0.13227597643493705,2.97177376349767,3.7972101002623284
115,hybrid,SVR,median,Correction_True,DecisionTreeRegressor,96,96.csv,0.9214168865637915,0.3033261766192939,6.422557560818015,7.212952438097717
116,hybrid,SVR,median,Correction_True,GradientBoostingRegressor,96,96.csv,0.9835825128984066,0.11882786930742224,2.712127569872499,3.2968697873094825
117,hybrid,SVR,median,Correction_True,KNeighborsRegressor,96,96.csv,0.9626025965494046,0.15360808500707196,3.878223396070075,4.9758717434578825
118,hybrid,SVR,median,Correction_True,RandomForestRegressor,96,96.csv,0.9765486207720369,0.127064725318965,3.073701852818603,3.9403304751159176
119,hybrid,SVR,median,Correction_True,SVR,96,96.csv,0.9840637940740544,0.10900119192375418,2.6024671857698967,3.2481862177516954
120,mean,,,Correction_False,ANN,96,96.csv,0.9864544610062272,0.10882155628553566,2.4879242934783297,2.994653631851018
121,mean,,,Correction_False,DecisionTreeRegressor,96,96.csv,0.9399548927979415,0.2284651958340045,5.190704249323897,6.305031563652438
122,mean,,,Correction_False,GradientBoostingRegressor,96,96.csv,0.9843705984049996,0.10388870190025204,2.5021261820606324,3.216767171801314
123,mean,,,Correction_False,KNeighborsRegressor,96,96.csv,0.9729529504464052,0.13124120012630353,3.320434914344058,4.231636954459411
124,mean,,,Correction_False,RandomForestRegressor,96,96.csv,0.9762147123062984,0.12717497665435035,3.0946062206191365,3.9682831887190466
125,mean,,,Correction_False,SVR,96,96.csv,0.9841318148679047,0.10902118185413458,2.6000484038027754,3.241246658998867
126,mean,,,Correction_True,ANN,96,96.csv,0.9560166612436062,0.1959696468529074,4.276756176948547,5.396256061073501
127,mean,,,Correction_True,DecisionTreeRegressor,96,96.csv,0.9399548927979415,0.22846519583400443,5.190704249323896,6.305031563652437
128,mean,,,Correction_True,GradientBoostingRegressor,96,96.csv,0.9843705984049996,0.10388870190025204,2.502126182060633,3.2167671718013136
129,mean,,,Correction_True,KNeighborsRegressor,96,96.csv,0.9729529504464052,0.13124120012630353,3.320434914344058,4.231636954459411
130,mean,,,Correction_True,RandomForestRegressor,96,96.csv,0.9760706077703168,0.1280832362391696,3.1074306623056938,3.9802860723057805
131,mean,,,Correction_True,SVR,96,96.csv,0.9841318148679047,0.10902118185413458,2.6000484038027754,3.241246658998867
132,median,,,Correction_False,ANN,96,96.csv,0.9919988940459299,0.08026398218715522,1.7960850397745767,2.301566160364761
133,median,,,Correction_False,DecisionTreeRegressor,96,96.csv,0.9214168865637915,0.30332617661929373,6.422557560818014,7.212952438097719
134,median,,,Correction_False,GradientBoostingRegressor,96,96.csv,0.9808126186876556,0.12384682653907353,2.8794015478134742,3.5641527296392113
135,median,,,Correction_False,KNeighborsRegressor,96,96.csv,0.9626025965494046,0.15360808500707196,3.878223396070075,4.9758717434578825
136,median,,,Correction_False,RandomForestRegressor,96,96.csv,0.9736532376788825,0.13221390364919547,3.2143747808250738,4.176496094020135
137,median,,,Correction_False,SVR,96,96.csv,0.9840430142938238,0.1090772556351777,2.6044604421307853,3.250303240071912
138,median,,,Correction_True,ANN,96,96.csv,0.9859740148523656,0.09812330956571225,2.4231683142979934,3.047299497929614
139,median,,,Correction_True,DecisionTreeRegressor,96,96.csv,0.9214168865637914,0.30332617661929423,6.4225575608180225,7.212952438097724
140,median,,,Correction_True,GradientBoostingRegressor,96,96.csv,0.9808126186876556,0.1238468265390735,2.8794015478134733,3.5641527296392104
141,median,,,Correction_True,KNeighborsRegressor,96,96.csv,0.9626025965494046,0.15360808500707196,3.878223396070075,4.9758717434578825
142,median,,,Correction_True,RandomForestRegressor,96,96.csv,0.976946695012823,0.125671086397413,3.0460642815891026,3.9067448714757163
143,median,,,Correction_True,SVR,96,96.csv,0.9840430142938238,0.1090772556351777,2.6044604421307853,3.250303240071912
