Recon_method;Short_Recon_Method;Long_Recon_Method;Corrected;Forecasting_Model;R2;SMAPE;RMSE
hybrid;KNN;median;Correction_True;RandomForestRegressor;0.976705455;0.126830381;3.927132626
hybrid;KNN;median;Correction_True;SVR;0.984046463;0.109123133;3.249951939
hybrid;RF;mean;Correction_False;ANN;0.979052046;0.106916972;3.724082222
hybrid;RF;mean;Correction_False;DecisionTreeRegressor;0.939955074;0.228455988;6.305022076
hybrid;RF;mean;Correction_False;GradientBoostingRegressor;0.980793684;0.120784142;3.56591087
hybrid;RF;mean;Correction_False;KNeighborsRegressor;0.97295295;0.1312412;4.231636954
hybrid;RF;mean;Correction_False;RandomForestRegressor;0.975524905;0.12848414;4.025414892
hybrid;RF;mean;Correction_False;SVR;0.984202375;0.108756168;3.234032329
hybrid;RF;mean;Correction_True;ANN;0.986683108;0.095432929;2.96927132
hybrid;RF;mean;Correction_True;DecisionTreeRegressor;0.939955074;0.228455988;6.305022076
hybrid;RF;mean;Correction_True;GradientBoostingRegressor;0.980793684;0.120784142;3.56591087
hybrid;RF;mean;Correction_True;KNeighborsRegressor;0.97295295;0.1312412;4.231636954
hybrid;RF;mean;Correction_True;RandomForestRegressor;0.975871076;0.128757352;3.996846138
hybrid;RF;mean;Correction_True;SVR;0.984202375;0.108756168;3.234032329
hybrid;RF;median;Correction_False;ANN;0.986632275;0.114459076;2.97493306
hybrid;RF;median;Correction_False;DecisionTreeRegressor;0.921416887;0.303326177;7.212952438
hybrid;RF;median;Correction_False;GradientBoostingRegressor;0.976773006;0.130378919;3.921434399
hybrid;RF;median;Correction_False;KNeighborsRegressor;0.962602597;0.153608085;4.975871743
hybrid;RF;median;Correction_False;RandomForestRegressor;0.976615946;0.127024046;3.934670408
hybrid;RF;median;Correction_False;SVR;0.984056843;0.108997808;3.248894572
hybrid;RF;median;Correction_True;ANN;0.984549444;0.117154147;3.198309658
hybrid;RF;median;Correction_True;DecisionTreeRegressor;0.921416887;0.303326177;7.212952438
hybrid;RF;median;Correction_True;GradientBoostingRegressor;0.976773006;0.130378919;3.921434399
hybrid;RF;median;Correction_True;KNeighborsRegressor;0.962602597;0.153608085;4.975871743
hybrid;RF;median;Correction_True;RandomForestRegressor;0.976056549;0.128434397;3.981455151
hybrid;RF;median;Correction_True;SVR;0.984056843;0.108997808;3.248894572
hybrid;SVR;mean;Correction_False;ANN;0.981293939;0.120788101;3.519164943
hybrid;SVR;mean;Correction_False;DecisionTreeRegressor;0.939954788;0.228458786;6.305037068
hybrid;SVR;mean;Correction_False;GradientBoostingRegressor;0.979852054;0.123285257;3.652278101
