;Model;Imputation;Correction;Forecast;Total
125;hybrid-SVR-mean-Correction_True-ANN-96-96;304.4681532;20.64882517;305.2118855;630.3288639
126;hybrid-SVR-mean-Correction_False-KNeighborsRegressor-96-96;302.828017;0;533.6794422;836.5074592
127;hybrid-SVR-mean-Correction_False-RandomForestRegressor-96-96;302.828017;0;1222.017877;1524.845894
128;hybrid-SVR-mean-Correction_False-SVR-96-96;302.828017;0;812.9087112;1115.736728
129;hybrid-SVR-mean-Correction_False-DecisionTreeRegressor-96-96;302.828017;0;3.249394178;306.0774112
130;hybrid-SVR-mean-Correction_False-GradientBoostingRegressor-96-96;302.828017;0;228.1857734;531.0137904
131;hybrid-SVR-mean-Correction_False-ANN-96-96;302.828017;0;303.0877171;605.9157341
132;hybrid-SVR-median-Correction_True-KNeighborsRegressor-96-96;301.4199929;20.96787834;540.9096491;863.2975204
133;hybrid-SVR-median-Correction_True-RandomForestRegressor-96-96;301.4199929;20.96787834;1206.446164;1528.834035
134;hybrid-SVR-median-Correction_True-SVR-96-96;301.4199929;20.96787834;835.8771594;1158.265031
135;hybrid-SVR-median-Correction_True-DecisionTreeRegressor-96-96;301.4199929;20.96787834;3.153087854;325.5409591
136;hybrid-SVR-median-Correction_True-GradientBoostingRegressor-96-96;301.4199929;20.96787834;215.7928584;538.1807296
137;hybrid-SVR-median-Correction_True-ANN-96-96;301.4199929;20.96787834;307.8848851;630.2727563
138;hybrid-SVR-median-Correction_False-KNeighborsRegressor-96-96;304.8964829;0;550.558754;855.4552369
139;hybrid-SVR-median-Correction_False-RandomForestRegressor-96-96;304.8964829;0;1259.046023;1563.942506
140;hybrid-SVR-median-Correction_False-SVR-96-96;304.8964829;0;842.5749395;1147.471422
141;hybrid-SVR-median-Correction_False-DecisionTreeRegressor-96-96;304.8964829;0;3.313532829;308.2100158
142;hybrid-SVR-median-Correction_False-GradientBoostingRegressor-96-96;304.8964829;0;221.7606397;526.6571226
143;hybrid-SVR-median-Correction_False-ANN-96-96;304.8964829;0;303.1213026;608.0177855
